hex,binary,decimal,rom_value,ascii_value,rom_unicode_name,ascii_unicode_name
0x3F,0011_1111,63,?,?,QUESTION MARK,QUESTION MARK
0x40,0100_0000,64,@,@,COMMERCIAL AT,COMMERCIAL AT
0x41,0100_0001,65,A,A,LATIN CAPITAL LETTER A,LATIN CAPITAL LETTER A
0x42,0100_0010,66,B,B,LATIN CAPITAL LETTER B,LATIN CAPITAL LETTER B
0x43,0100_0011,67,C,C,LATIN CAPITAL LETTER C,LATIN CAPITAL LETTER C
0x44,0100_0100,68,D,D,LATIN CAPITAL LETTER D,LATIN CAPITAL LETTER D
0x45,0100_0101,69,E,E,LATIN CAPITAL LETTER E,LATIN CAPITAL LETTER E
0x46,0100_0110,70,F,F,LATIN CAPITAL LETTER F,LATIN CAPITAL LETTER F
0x47,0100_0111,71,G,G,LATIN CAPITAL LETTER G,LATIN CAPITAL LETTER G
0x48,0100_1000,72,H,H,LATIN CAPITAL LETTER H,LATIN CAPITAL LETTER H
0x49,0100_1001,73,I,I,LATIN CAPITAL LETTER I,LATIN CAPITAL LETTER I
0x4A,0100_1010,74,J,J,LATIN CAPITAL LETTER J,LATIN CAPITAL LETTER J
0x4B,0100_1011,75,K,K,LATIN CAPITAL LETTER K,LATIN CAPITAL LETTER K
0x4C,0100_1100,76,L,L,LATIN CAPITAL LETTER L,LATIN CAPITAL LETTER L
0x4D,0100_1101,77,M,M,LATIN CAPITAL LETTER M,LATIN CAPITAL LETTER M
0x4E,0100_1110,78,N,N,LATIN CAPITAL LETTER N,LATIN CAPITAL LETTER N
0x4F,0100_1111,79,O,O,LATIN CAPITAL LETTER O,LATIN CAPITAL LETTER O
0x50,0101_0000,80,P,P,LATIN CAPITAL LETTER P,LATIN CAPITAL LETTER P
0x51,0101_0001,81,Q,Q,LATIN CAPITAL LETTER Q,LATIN CAPITAL LETTER Q
0x52,0101_0010,82,R,R,LATIN CAPITAL LETTER R,LATIN CAPITAL LETTER R
0x53,0101_0011,83,S,S,LATIN CAPITAL LETTER S,LATIN CAPITAL LETTER S
0x54,0101_0100,84,T,T,LATIN CAPITAL LETTER T,LATIN CAPITAL LETTER T
0x55,0101_0101,85,U,U,LATIN CAPITAL LETTER U,LATIN CAPITAL LETTER U
0x56,0101_0110,86,V,V,LATIN CAPITAL LETTER V,LATIN CAPITAL LETTER V
0x57,0101_0111,87,W,W,LATIN CAPITAL LETTER W,LATIN CAPITAL LETTER W
0x58,0101_1000,88,X,X,LATIN CAPITAL LETTER X,LATIN CAPITAL LETTER X
0x59,0101_1001,89,Y,Y,LATIN CAPITAL LETTER Y,LATIN CAPITAL LETTER Y
0x5A,0101_1010,90,Z,Z,LATIN CAPITAL LETTER Z,LATIN CAPITAL LETTER Z
0x5B,0101_1011,91,[,[,LEFT SQUARE BRACKET,LEFT SQUARE BRACKET
0x5C,0101_1100,92,\,\,REVERSE SOLIDUS,REVERSE SOLIDUS
0x5D,0101_1101,93,],],RIGHT SQUARE BRACKET,RIGHT SQUARE BRACKET
0x5E,0101_1110,94,^,^,CIRCUMFLEX ACCENT,CIRCUMFLEX ACCENT
0x5F,0101_1111,95,_,_,LOW LINE,LOW LINE
0x60,0110_0000,96,`,`,GRAVE ACCENT,GRAVE ACCENT
0x61,0110_0001,97,a,a,LATIN SMALL LETTER A,LATIN SMALL LETTER A
0x62,0110_0010,98,b,b,LATIN SMALL LETTER B,LATIN SMALL LETTER B
0x63,0110_0011,99,c,c,LATIN SMALL LETTER C,LATIN SMALL LETTER C
0x64,0110_0100,100,d,d,LATIN SMALL LETTER D,LATIN SMALL LETTER D
0x65,0110_0101,101,e,e,LATIN SMALL LETTER E,LATIN SMALL LETTER E
0x66,0110_0110,102,f,f,LATIN SMALL LETTER F,LATIN SMALL LETTER F
0x67,0110_0111,103,g,g,LATIN SMALL LETTER G,LATIN SMALL LETTER G
0x68,0110_1000,104,h,h,LATIN SMALL LETTER H,LATIN SMALL LETTER H
0x69,0110_1001,105,i,i,LATIN SMALL LETTER I,LATIN SMALL LETTER I
0x6A,0110_1010,106,j,j,LATIN SMALL LETTER J,LATIN SMALL LETTER J
0x6B,0110_1011,107,k,k,LATIN SMALL LETTER K,LATIN SMALL LETTER K
0x6C,0110_1100,108,l,l,LATIN SMALL LETTER L,LATIN SMALL LETTER L
0x6D,0110_1101,109,m,m,LATIN SMALL LETTER M,LATIN SMALL LETTER M
0x6E,0110_1110,110,n,n,LATIN SMALL LETTER N,LATIN SMALL LETTER N
0x6F,0110_1111,111,o,o,LATIN SMALL LETTER O,LATIN SMALL LETTER O
